# Load-bearing behaviours that must not be lost to a later edit.
# Each row asserts a rule still lives somewhere in the plugin.
#
# Two kinds of origin:
#   - a deleted source (CLAUDE.md, fable-mode) whose behaviour we absorbed, where
#     no original is left to diff against;
#   - `audit`, for rules added to close a defect found in review, where the whole
#     point is that the defect stays closed.
#
#
# Rule 0b — a pin retires on the same evidence that removes the text it pins.
#
# Rule 0 says pin before you cut, and pin inflation is Rule 0's own failure mode:
# pins already blanket ~70% of the output style, every compression phase adds
# more, and a ratchet with no downward pawl makes these two files the largest
# incompressible surface in the repository inside ten releases.
#
# So a row comes out only when (a) its provenance commit has been read and the
# documented failure it answers no longer reproduces under the Rule 1 pressure
# test, or (b) its upstream justification is documented as reversed — the pattern
# LIMITATIONS.md already records for the designer-temperature entry (c7690923).
# Same evidence to remove a pin as to cut pinned text. Never less.
#
# Checked by scripts/check-coverage.sh. Patterns are FIXED SUBSTRINGS, not regex.
# Whitespace is normalised first, so line-wrapped prose still matches.
#
# origin	rule	where	pattern
CLAUDE.md	ownership-no-exits	output-styles	with evidence, is a result
CLAUDE.md	no-permission-to-continue	output-styles	permission to continue
CLAUDE.md	looks-right-is-not-a-check	output-styles	a check that cannot fail is not evidence
CLAUDE.md	read-artefact-not-memory	output-styles	assumption stated as a finding
CLAUDE.md	surgical-edits	output-styles	Changes trace to the request
CLAUDE.md	finish-agreed-scope	output-styles	ships whole
CLAUDE.md	research-before-edit	output-styles	Read the artefact before concluding
fable-mode	stage-map-first	deepwork	Write the stage map before touching anything
fable-mode	one-artefact-per-stage	deepwork	Every stage produces one verifiable artefact
fable-mode	merge-uncheckable-stages	deepwork	producing no artefact at all merges into the next
fable-mode	delegate-independent-work	deepwork	dispatch them in one message
fable-mode	one-level-delegation	deepwork	Keep delegation one level deep
fable-mode	failable-check-per-stage	deepwork	check that can fail
fable-mode	introspection-is-not-a-check	deepwork	pass its own introspection
fable-mode	mark-unverified-stages	deepwork	mark its output unverified
fable-mode	backward-rerun	deepwork	invalidates an earlier stage
fable-mode	self-critique-least-confident	deepwork	least confident
fable-mode	self-critique-unknown-unknown	deepwork	biggest thing you are missing
fable-mode	no-manufactured-weakness	deepwork	manufacture a weakness
fable-mode	warning-threshold	deepwork	At three, stop and surface
fable-mode	verify-before-flagging	deepwork	Absence of evidence is not the finding
fable-mode	find-replace-word-boundaries	deepwork	Anchor on word boundaries
fable-mode	domain-variations	deepwork/depth.md	Domain variations
fable-mode	when-not-to-use	deepwork	When NOT to use this
fable-mode	not-a-capability-transplant	deepwork	does not make the underlying reasoning better
fable-mode	verify-before-flagging	verification-planning	Absence of evidence is not the finding
fable-mode	verify-before-flagging	tracer	Absence of evidence is not the finding
audit	stale-recall-external	output-styles	plausibly changed since training
audit	prior-art-before-inventing	output-styles	prior art beats inventing
audit	no-green-washing	output-styles	wearing a passing badge
audit	verification-floor	output-styles	one check that can fail
audit	prior-art-before-inventing	librarian	Prior art is part of the job
audit	one-level-is-enforced	deepwork	enforced, not advisory
audit	scope-allows-large-work	simplify	that **is** the scope
audit	codemap-announce-cost	codemap	Announce before you start
omo-slim	parallel-structure-scan	deepwork	Scan structure in the same message
omo-slim	oracle-rereview-budget	deepwork	at most two re-reviews
omo-slim	phase-checkpoint-commit	deepwork	Checkpoint at a delivery boundary
audit	deepwork-crosscutting-trigger	output-styles	only correct once every layer lands
audit	deepwork-crosscutting-trigger	deepwork	every affected layer lands together
audit	deepwork-gate-is-conjunction	deepwork	Both conditions, not either
audit	discovery-covers-both-scopes	librarian	never assume the repository is the whole inventory
omc-official	no-hardcoded-project-dialect	simplify	Conventions come from the repository
addy	chestertons-fence	simplify	Chesterton's Fence
addy	git-blame-for-intent	simplify	git blame
addy	tests-changed-means-behaviour-changed	simplify	you changed behaviour
addy	comments-why-not-what	simplify	keep comments that explain why
addy	rule-of-500	simplify	stop hand-editing
addy	separate-refactor-commits	simplify	separate from feature and bug-fix commits
addy	red-flags	simplify/principles.md	Red flags
addy	refuse-rationalizations	simplify/principles.md	Rationalizations to refuse
audit	bisect-on-failure	simplify	bisect them rather than guessing
audit	honour-do-not-simplify-marker	simplify	do-not-touch marker
ponytail	ladder-applied-retroactively	simplify	the ladder, applied after the fact
ponytail	stdlib-and-native-first	simplify	Does the standard library do it?
ponytail	finding-tags	simplify	`stdlib:`
ponytail	yagni-no-unrequested-abstraction	simplify	Speculative need, an export unused
